X,Y,Z,distance,wavelength_409_nm
40.99261093,36.67763901,484.5168457,487.629181,0.000843
41.26771164,37.25771332,487.7684631,490.92691,0.000789
40.86528397,37.55584717,483.0119019,486.190186,0.000829
40.31425476,35.67023468,484.3473206,487.329407,0.000859
40.43997192,37.11176682,485.8577576,488.948273,0.000761
40.31390381,37.32769775,484.3431397,487.44931,0.000713
40.27460861,37.62264252,483.8710022,486.999634,0.000774
40.14638519,38.16352844,482.3305054,485.500671,0.000785
40.28829956,38.96157837,484.0354919,487.26944,0.000711
39.65578842,34.68068314,484.4132385,487.26944,0.000671
39.60918045,38.2832756,483.8439331,486.969666,0.000861
39.73487473,40.06749344,485.379303,488.648499,0.000755
39.66772842,42.32525253,484.559082,488.018921,0.00078
37.93347931,46.29758835,487.8687134,491.5264891,0.000853
36.12436676,34.14715958,481.5628052,484.1216131,0.000889
36.34946823,35.35455704,484.5635681,487.209473,0.000853
36.75662994,46.83556747,489.9913025,493.5950619,0.000699
34.7991066,33.48162079,481.466095,483.881775,0.000694
34.14309692,33.15504074,481.5055237,483.851807,0.000718
34.1732254,33.5139122,481.9304504,484.301483,0.000689
33.38587952,33.05752945,480.089325,482.3828131,0.000807
33.44535828,51.6154747,490.5942383,494.4344789,0.000821
33.42066193,51.91476822,490.2319641,494.1047059,0.000746
33.42231369,52.25480652,490.2561646,494.1646729,0.000757
32.79928589,51.65459442,490.9660645,494.7642518,0.000805
32.63957977,52.07566833,488.5755005,492.4258729,0.000738
32.73656464,52.5677681,490.0272217,493.9248348,0.00084
30.85183716,33.48564911,481.5240479,483.6719359,0.000822
31.38539314,52.21168137,489.851593,493.6250311,0.000848
30.76474762,52.6325798,490.6313782,494.4045101,0.000826
31.06986809,53.83699417,495.497406,499.3810731,0.000715
30.22373772,53.53765488,492.7424011,496.5630189,0.000753
28.89348984,33.17445755,481.7874756,483.7918399,0.000801
28.86706924,33.47333145,481.3469238,483.372131,0.000867
29.57825089,53.24833298,493.2055969,496.9527284,0.000762
29.54177856,53.8611908,492.5974426,496.4131156,0.000637
26.91153145,18.49202728,493.7156677,494.7942201,0.000734
26.93826485,21.20591164,494.2061157,495.393829,0.0007
26.90896034,21.85617828,493.668457,494.8841859,0.000729
27.01326752,22.6169281,495.5820923,496.8328248,0.000695
26.90399742,23.1988163,493.5774231,494.8541871,0.000687
26.23733711,33.47333527,481.3469544,483.2222601,0.000736
26.89291573,53.94610977,493.374115,497.0426637,0.000817
27.14393425,54.79269028,497.9792786,501.719452,0.000666
26.8337574,54.5057373,492.2888184,496.0233756,0.000762
26.4383316,19.31185341,497.4954529,498.5716248,0.000829
26.2964325,22.91992188,494.8253479,496.0533753,0.000857
26.27006149,23.90863609,494.3291016,495.6036678,0.000808
26.29779625,24.27151108,494.8509827,496.1433106,0.000712
26.2347374,25.22391891,493.6643982,495.004089,0.000873
26.34186172,25.66520691,495.6801758,497.0426637,0.000612
25.54551506,33.42800903,480.6951599,482.5327149,0.000736
26.27223969,55.07683182,494.3700867,498.1219178,0.000865
25.76103592,24.74244308,497.5309448,498.8114615,0.000888
25.62833214,25.62833214,494.9679871,496.2931825,0.000849
25.70700264,26.3847599,496.4873962,497.8521119,0.000868
25.60760689,26.95797729,494.5677185,495.96344,0.000705
25.5259819,54.24385834,492.991272,496.6229554,0.000886
25.0533638,27.08858681,496.9638977,498.3317872,0.000813
25.25699043,28.3349781,501.0031128,502.4389344,0.0007
24.28063202,33.82286453,481.6358032,483.432098,0.00081
24.97668266,55.53779602,495.4428406,499.1712037,0.000704
24.3686924,28.43837166,496.8323364,498.2418519,0.000754
24.14818764,54.51103592,492.3366699,495.9334413,0.000827
23.5631485,18.50853729,494.1564636,495.064056,0.000879
23.70562744,28.79575539,497.1444702,498.5416261,0.000663
23.75600624,29.19721794,498.2009888,499.6208802,0.000611
23.81777191,29.61430931,499.4963074,500.939972,0.00081
22.97880936,33.51192856,481.9019165,483.6119691,0.000593
23.0820179,34.32468414,484.0663757,485.830444,0.000892
23.46087074,54.47503662,492.0115356,495.5737,0.000804
22.9264431,18.53886414,494.9661255,495.843506,0.00081
22.86486435,18.82555771,493.6367188,494.5244142,0.000798
22.82406998,19.12787628,492.7559815,493.6550289,0.000829
23.01032257,28.43520737,496.7770386,498.1219178,0.000865
23.01773071,28.78373909,496.9369812,498.3018189,0.000871
22.98682022,29.42300415,496.2696228,497.6722413,0.000657
23.1838932,30.01716423,500.5243225,501.9592591,0.00075
22.74657249,54.71060944,491.0828552,494.6443482,0.000816
22.81790733,55.22168732,492.6229248,496.2332459,0.000853
22.17533684,18.81188965,493.2782898,494.1347052,0.000832
22.13843155,19.11628342,492.4573669,493.325256,0.000753
22.35420227,29.4815464,497.2570496,498.6315919,0.000773
22.39361572,29.87380028,498.1337891,499.5309449,0.000829
21.75424385,33.9826622,483.9113159,485.590607,0.000711
22.14088631,54.86982346,492.5119629,496.0533753,0.000789
21.42028999,18.73997307,491.3925171,492.216034,0.000844
21.52482986,19.50466919,493.7907105,494.6443482,0.000761
21.50076485,19.81913376,493.238678,494.1047059,0.000839
21.69850922,29.85228729,497.7750244,499.1412354,0.000814
21.71065331,30.20923996,498.0535889,499.4410096,0.000763
21.76969719,30.63259888,499.4081116,500.8200685,0.000695
21.77959061,31.32931709,499.6350403,501.0898744,0.000792
21.20046043,35.15206909,486.3495483,488.078888,0.000771
21.07701492,35.2782402,483.5176086,485.2608341,0.000782
21.52193069,55.34514236,493.7242432,497.2825013,0.00074
20.7937355,19.11506462,492.4259338,493.2353211,0.000689
20.85890198,19.51171875,493.9691773,494.7942201,0.000701
20.79767418,19.79022598,492.5192261,493.3552252,0.000685
20.77377319,20.43832397,491.953186,492.8156129,0.000889
21.00189781,29.82712746,497.3555298,498.6915284,0.000884
21.00356293,30.16928864,497.394928,498.7514955,0.00076
20.42253304,35.2868309,483.6353149,485.3507689,0.000853
19.72041893,19.06237602,482.5933533,483.372131,0.000717
19.87398911,19.54239655,486.3515015,487.149536,0.000638
19.90034866,19.90034866,486.9965515,487.809082,0.00082
19.94137192,20.27410698,488.0004883,488.828369,0.000809
20.40167809,30.96495247,499.2650147,500.6401978,0.000689
20.15930939,55.30137634,493.3337708,496.8328248,0.000668
18.71803665,15.48825264,473.8759155,474.4982911,0.000714
18.77438164,15.85875511,475.3023377,475.9372865,0.000839
18.75177956,16.81022644,474.7301636,475.3976747,0.000819
18.74021912,17.44658089,474.437439,475.1278382,0.000649
18.8035965,17.83006287,476.0419617,476.7467347,0.000759
19.59214401,29.74615097,496.005249,497.2825013,0.000788
19.21893883,35.5,486.5570068,488.22879,0.000623
19.49002457,55.31103516,493.4199524,496.8927918,0.000721
19.41445923,55.43537521,491.5069275,495.004089,0.000891
